V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,nokken_poole_dim1,nokken_poole_dim2
112,14440,mikulski,0,20,100,1669,-0.406,0.136,0.029,0.14,0.211,-52.98993,404,18,0.877,-0.407,-0.08
112,29722,moran,0,16,200,1714,0.44,0.358,0.034,0.219,0.045,-123.49054,390,62,0.729,0.406,0.311
112,49308,murray,0,48,100,1759,-0.391,-0.056,0.028,0.206,0.235,-50.41458,403,20,0.882,-0.405,-0.479
112,40300,murkowski,0,2,200,1754,0.187,-0.495,0.029,0.127,0.392,-148.18506,393,72,0.686,0.183,-0.386
112,40701,mccaskill,0,25,100,1588,-0.214,0.977,0.088,0.23,0.194,-125.83144,397,52,0.728,-0.099,-0.039
112,40908,merkley,0,37,100,1660,-0.441,0.078,0.033,0.159,0.279,-63.70861,407,26,0.855,-0.399,-0.497
112,40915,manchin,0,49,100,1538,-0.128,0.867,0.085,0.202,0.142,-130.40807,407,59,0.726,-0.075,0.454
112,14651,Wnelson,0,9,100,1769,-0.249,0.126,0.032,0.076,0.266,-56.70531,409,27,0.871,-0.201,0.063
112,40103,Bnelson,0,27,100,1770,-0.014,0.611,0.071,0.186,0.46,-101.32664,408,48,0.78,-0.062,0.548
112,29386,portman,0,35,200,1947,0.404,-0.223,0.03,0.09,0.312,-91.66385,408,42,0.799,0.375,-0.168
112,40301,pryor,0,4,100,1975,-0.205,0.537,0.056,0.107,0.327,-89.71294,405,43,0.801,-0.16,0.481
112,41104,paul,0,17,200,1868,1,0.014,0.273,0.205,-0.572,-117.74609,393,46,0.741,0.933,-0.359
112,29142,reed,0,39,100,2015,-0.478,-0.078,0.032,0.242,0.192,-47.11179,409,16,0.891,-0.41,-0.068
112,15054,reid,0,28,100,2022,-0.415,0.535,0.047,0.077,0.229,-79.90273,409,29,0.823,-0.265,0.253
112,14852,roberts,0,16,200,2056,0.44,0.224,0.034,0.204,0.201,-93.17126,393,50,0.789,0.414,0.291
112,14922,rockefeller,0,49,100,2067,-0.382,0.42,0.035,0.054,0.364,-50.56244,380,20,0.875,-0.377,-0.036
112,40902,risch,0,12,200,2045,0.62,0.442,0.058,0.348,-0.058,-85.40027,401,40,0.808,0.65,0.424
112,41102,rubio,0,9,200,2081,0.619,0.081,0.059,0.202,0.05,-103.56422,386,46,0.765,0.549,-0.215
112,29147,sanders,0,46,328,2101,-0.643,0.608,0.063,0.137,0.431,-82.35767,400,31,0.814,-0.823,0.567
112,14858,schumer,0,32,100,2131,-0.427,-0.148,0.03,0.259,0.188,-34.4878,401,11,0.918,-0.344,-0.095
112,94659,shelby,0,1,200,2169,0.476,0.118,0.034,0.212,0.17,-117.57806,407,57,0.749,0.468,0.423
112,14661,snowe,0,19,200,2236,0.048,-0.592,0.029,0.091,0.386,-150.19672,404,79,0.69,0.107,-0.5
112,29732,stabenow,0,22,100,2263,-0.362,0.432,0.036,0.079,0.191,-61.45433,405,27,0.859,-0.264,0.333
112,49700,sessions,0,1,200,2154,0.559,-0.128,0.035,0.11,0.206,-102.0167,405,50,0.777,0.525,0.043
112,40906,shaheen,0,29,100,2166,-0.341,-0.1,0.031,0.2,0.307,-42.42486,407,19,0.901,-0.281,-0.357
112,29754,thune,0,41,200,2375,0.483,0.205,0.035,0.231,0.199,-82.29869,400,38,0.814,0.431,0.154
112,29935,toomey,0,38,200,2399,0.654,-0.195,0.072,0.127,0.198,-93.18736,405,40,0.794,0.573,-0.308
112,40702,tester,0,26,100,2359,-0.276,0.681,0.066,0.127,0.236,-89.93021,407,37,0.802,-0.21,0.094
112,29906,Mudall,0,6,100,2437,-0.284,-0.039,0.033,0.141,0.465,-63.64188,403,28,0.854,-0.637,0.385
112,29924,Tudall,0,31,100,2437,-0.429,0.155,0.033,0.124,0.325,-31.3372,401,9,0.925,-0.426,-0.319
112,29918,vitter,0,18,200,2467,0.623,0.561,0.064,0.402,-0.204,-107.10152,386,45,0.758,0.586,0.552
112,29534,wicker,0,24,200,2572,0.437,0.187,0.03,0.208,0.25,-101.79449,403,54,0.777,0.397,0.414
112,14871,wyden,0,37,100,2636,-0.39,-0.15,0.031,0.245,0.245,-64.92583,398,28,0.849,-0.346,-0.57
112,40704,whitehouse,0,39,100,2567,-0.516,0.032,0.028,0.188,0.223,-44.60124,408,19,0.896,-0.406,-0.047
112,40706,webb,0,47,100,2527,-0.208,0.22,0.043,0.058,0.321,-98.51476,391,42,0.777,-0.163,0.082
112,40909,warner,0,47,100,2510,-0.254,0.06,0.035,0.098,0.387,-64.76266,390,24,0.847,-0.192,-0.072
